county_fips,county_name,state_abbr,clay_mean,silt_mean,sand_mean,ph_mean,soc_mean,bdod_mean
17117,Macoupin,IL,24.307238483154936,69.37201382968647,6.320622967383411,6.074544536010862,31.861155315588395,1.4149360613810742
17195,Whiteside,IL,27.654924130755223,56.33819647966705,16.006489204890315,6.14995057660626,34.55779242174629,1.4176712043700683
17101,Lawrence,IL,28.198024822435382,53.28042395840961,18.522206560738084,6.103961338507725,36.48333089258256,1.4347235849747384
17021,Christian,IL,27.80925145692235,67.23542880768625,4.955156323830524,6.001425421326193,32.69485745786738,1.430599306977477
17111,McHenry,IL,26.791266699653637,51.3881653354068,21.82069696755496,6.409623948540326,44.64609987983318,1.3668145189792889
17077,Jackson,IL,23.614756879784814,68.77833436788744,7.606176288019863,5.80124353403683,37.24660873163667,1.335857645354852
17095,Knox,IL,32.150913202569214,62.058718218509036,5.790203684218792,6.300205725772257,32.411588171553305,1.4398343200841748
17071,Henderson,IL,28.89619062189245,60.455302276957596,10.648509650934496,6.297483362655855,32.91564292817257,1.4384986868609602
17015,Carroll,IL,29.278913830557563,60.76043860556532,9.960473776766317,6.193797455260164,37.77487362227563,1.380406687660562
17047,Edwards,IL,25.33309837201247,61.73399376515414,12.932604780048493,6.102057499134049,33.78254243158988,1.419194665742986
31039,Cuming,NE,36.5054812383027,55.85926272512503,7.6351394471205465,6.264575215537079,29.402271960236863,1.4191927714539931
31043,Dakota,NE,34.79015171781251,49.4174685672794,15.793130660755915,6.7732850536935825,33.46673099705736,1.4282600221653226
31109,Lancaster,NE,35.376397135438204,54.21815325074839,10.405987132626565,6.228240411491326,27.96409374328102,1.389799712220697
31101,Keith,NE,19.309200517883152,30.44874898850947,50.241655607703514,7.07718239197281,22.130778443113773,1.372776339213465
31129,Nuckolls,NE,32.75040676514665,56.57731749090131,10.672261981221519,6.285370217451143,29.11765452487996,1.3408577239502093
31171,Thomas,NE,11.830393996247654,14.513100913480761,73.65639436533078,6.318094300741242,24.621740534555407,1.3671918924737798
31015,Boyd,NE,39.048921105866484,44.27210833895258,16.679766239604405,6.810683299617892,31.792850078669364,1.3900811418296246
31181,Webster,NE,30.258264247912145,56.12147205481966,13.621104958854662,6.4933953317629785,27.20984887882774,1.3516857352626266
31137,Phelps,NE,25.04867486603396,51.902816514946096,23.048313319129704,6.437205436115953,25.27959358254245,1.3466673122861386
31089,Holt,NE,18.092392074213556,24.32149014459205,57.58631989911379,6.484526750393007,28.81202515245219,1.398741168137924
31057,Dundy,NE,22.91940649083484,37.62208848905401,39.45829776781602,7.007107986121772,18.207849488777672,1.3997012496545795
31151,Saline,NE,34.13651687987807,55.460936898659156,10.40295878939023,5.992359796179128,29.200685047491493,1.3675527640511709
31077,Greeley,NE,24.895921190139546,44.96179688940801,30.14229267842872,6.631112067375669,29.415722013893156,1.3770289543247065
31017,Brown,NE,13.570284097093719,19.24394252748449,67.18615434853598,6.289768150647655,27.221566706578137,1.3757808134683065
31095,Jefferson,NE,34.41444589710067,50.22466661539645,15.361104360532185,6.049759286318542,28.730732907790507,1.3698546489271706
31007,Banner,NE,15.602990058785512,33.73097165368871,50.665912098735035,7.205550767904958,17.820971961466253,1.3504431996552893
31103,Keya Paha,NE,20.55933375235701,30.293063925758865,49.14719747106888,6.628019743409621,29.799022072688285,1.3962293415166191
31157,Scotts Bluff,NE,19.539494829899756,33.65229773462783,46.80818691293709,7.545214302628463,21.19323545662641,1.3834896203330964
31131,Otoe,NE,35.534439288063865,59.249927988478156,5.215689621450543,6.275980156825092,26.146953290304225,1.398854927899575
31001,Adams,NE,28.455244169265864,56.67297922194808,14.87180143692876,6.373143708393464,27.843682013562375,1.3269289139239329
31127,Nemaha,NE,35.024815320893296,59.28421367265895,5.690898415816218,6.530712242196508,26.603189717750546,1.3850222041931763
31041,Custer,NE,22.314689730065158,38.937209121936085,38.748125969593545,6.723616196090599,26.638132174992244,1.3711214706794912
31087,Hitchcock,NE,21.49447770198153,45.30229554349003,33.2026265719987,6.953464197874611,18.293654771296424,1.398731573004161
31099,Kearney,NE,26.8975976878999,50.66605021801233,22.436064752167592,6.523658931823118,26.912674785746503,1.344547520005346
31105,Kimball,NE,20.11582821143208,33.87828057775046,46.006158574062695,7.257140442532268,16.322444683466504,1.3622927166564227
31025,Cass,NE,35.6881007075255,57.829991730221444,6.481688872553524,6.34931544610861,26.268220159882382,1.4265152990903243
